technology,parameter,year,value,unit,currency_year,financial_case,scenario,source,further description
PHS,PTC,2025,27.5,$/Mwh,2022,Market,Advanced,"NREL, NREL ATB 2024",
PHS,PTC,2025,27.5,$/Mwh,2022,Market,Moderate,"NREL, NREL ATB 2024",
PHS,PTC,2025,27.5,$/Mwh,2022,Market,Conservative,"NREL, NREL ATB 2024",
PHS,PTC,2030,27.5,$/Mwh,2022,Market,Advanced,"NREL, NREL ATB 2024",
PHS,PTC,2030,27.5,$/Mwh,2022,Market,Moderate,"NREL, NREL ATB 2024",
PHS,PTC,2030,27.5,$/Mwh,2022,Market,Conservative,"NREL, NREL ATB 2024",
PHS,PTC,2035,27.5,$/Mwh,2022,Market,Advanced,"NREL, NREL ATB 2024",
PHS,PTC,2035,27.5,$/Mwh,2022,Market,Moderate,"NREL, NREL ATB 2024",
PHS,PTC,2035,27.5,$/Mwh,2022,Market,Conservative,"NREL, NREL ATB 2024",
PHS,PTC,2040,27.5,$/Mwh,2022,Market,Advanced,"NREL, NREL ATB 2024",
PHS,PTC,2040,27.5,$/Mwh,2022,Market,Moderate,"NREL, NREL ATB 2024",
PHS,PTC,2040,27.5,$/Mwh,2022,Market,Conservative,"NREL, NREL ATB 2024",
PHS,PTC,2045,27.5,$/Mwh,2022,Market,Advanced,"NREL, NREL ATB 2024",
PHS,PTC,2045,27.5,$/Mwh,2022,Market,Moderate,"NREL, NREL ATB 2024",
PHS,PTC,2045,27.5,$/Mwh,2022,Market,Conservative,"NREL, NREL ATB 2024",
PHS,PTC,2050,27.5,$/Mwh,2022,Market,Advanced,"NREL, NREL ATB 2024",
PHS,PTC,2050,27.5,$/Mwh,2022,Market,Moderate,"NREL, NREL ATB 2024",
PHS,PTC,2050,27.5,$/Mwh,2022,Market,Conservative,"NREL, NREL ATB 2024",
ror,PTC,2025,27.5,$/Mwh,2022,Market,Advanced,"NREL, NREL ATB 2024",
ror,PTC,2025,27.5,$/Mwh,2022,Market,Moderate,"NREL, NREL ATB 2024",
ror,PTC,2025,27.5,$/Mwh,2022,Market,Conservative,"NREL, NREL ATB 2024",
ror,PTC,2030,27.5,$/Mwh,2022,Market,Advanced,"NREL, NREL ATB 2024",
ror,PTC,2030,27.5,$/Mwh,2022,Market,Moderate,"NREL, NREL ATB 2024",
ror,PTC,2030,27.5,$/Mwh,2022,Market,Conservative,"NREL, NREL ATB 2024",
ror,PTC,2035,27.5,$/Mwh,2022,Market,Advanced,"NREL, NREL ATB 2024",
ror,PTC,2035,27.5,$/Mwh,2022,Market,Moderate,"NREL, NREL ATB 2024",
ror,PTC,2035,27.5,$/Mwh,2022,Market,Conservative,"NREL, NREL ATB 2024",
ror,PTC,2040,27.5,$/Mwh,2022,Market,Advanced,"NREL, NREL ATB 2024",
ror,PTC,2040,27.5,$/Mwh,2022,Market,Moderate,"NREL, NREL ATB 2024",
ror,PTC,2040,27.5,$/Mwh,2022,Market,Conservative,"NREL, NREL ATB 2024",
ror,PTC,2045,27.5,$/Mwh,2022,Market,Advanced,"NREL, NREL ATB 2024",
ror,PTC,2045,27.5,$/Mwh,2022,Market,Moderate,"NREL, NREL ATB 2024",
ror,PTC,2045,27.5,$/Mwh,2022,Market,Conservative,"NREL, NREL ATB 2024",
ror,PTC,2050,27.5,$/Mwh,2022,Market,Advanced,"NREL, NREL ATB 2024",
ror,PTC,2050,27.5,$/Mwh,2022,Market,Moderate,"NREL, NREL ATB 2024",
ror,PTC,2050,27.5,$/Mwh,2022,Market,Conservative,"NREL, NREL ATB 2024",
solar-utility,PTC,2025,27.5,$/Mwh,2022,Market,Advanced,"NREL, NREL ATB 2024",
solar-utility,PTC,2025,27.5,$/Mwh,2022,Market,Moderate,"NREL, NREL ATB 2024",
solar-utility,PTC,2025,27.5,$/Mwh,2022,Market,Conservative,"NREL, NREL ATB 2024",
solar-utility,PTC,2030,27.5,$/Mwh,2022,Market,Advanced,"NREL, NREL ATB 2024",
solar-utility,PTC,2030,27.5,$/Mwh,2022,Market,Moderate,"NREL, NREL ATB 2024",
solar-utility,PTC,2030,27.5,$/Mwh,2022,Market,Conservative,"NREL, NREL ATB 2024",
solar-utility,PTC,2035,27.5,$/Mwh,2022,Market,Advanced,"NREL, NREL ATB 2024",
solar-utility,PTC,2035,27.5,$/Mwh,2022,Market,Moderate,"NREL, NREL ATB 2024",
solar-utility,PTC,2035,27.5,$/Mwh,2022,Market,Conservative,"NREL, NREL ATB 2024",
solar-utility,PTC,2040,27.5,$/Mwh,2022,Market,Advanced,"NREL, NREL ATB 2024",
solar-utility,PTC,2040,27.5,$/Mwh,2022,Market,Moderate,"NREL, NREL ATB 2024",
solar-utility,PTC,2040,27.5,$/Mwh,2022,Market,Conservative,"NREL, NREL ATB 2024",
solar-utility,PTC,2045,27.5,$/Mwh,2022,Market,Advanced,"NREL, NREL ATB 2024",
solar-utility,PTC,2045,27.5,$/Mwh,2022,Market,Moderate,"NREL, NREL ATB 2024",
solar-utility,PTC,2045,27.5,$/Mwh,2022,Market,Conservative,"NREL, NREL ATB 2024",
solar-utility,PTC,2050,27.5,$/Mwh,2022,Market,Advanced,"NREL, NREL ATB 2024",
solar-utility,PTC,2050,27.5,$/Mwh,2022,Market,Moderate,"NREL, NREL ATB 2024",
solar-utility,PTC,2050,27.5,$/Mwh,2022,Market,Conservative,"NREL, NREL ATB 2024",
